Squad;Ano;id
Atl-Goianiense;2016;32d508ca
Avaí;2016;f205258a
Vasco-da-Gama;2016;83f55dbe
Bahia;2016;157b7fee
Náutico;2016;b5effd9e
Londrina;2016;7886dd6c
CRB;2016;7fcb6e83
Criciúma;2016;3f7595bb
Luverdense;2016;e1ad075e
Ceará;2016;2f335e17
Brasil-de-Pelotas;2016;d11febf7
Vila-Nova;2016;f050c492
Goiás;2016;78c617cc
Paysandu;2016;81f8aeb6
Oeste;2016;4d0b6235
Paraná;2016;ab17f2e9
Joinville;2016;da0666a2
Tupi-FC;2016;aa2e6305
Bragantino;2016;f98930d1
Sampaio-Corrêa;2016;740be0b0
América-(MG);2017;1f68d780
Internacional;2017;6f7e1f03
Ceará;2017;2f335e17
Paraná;2017;ab17f2e9
Londrina;2017;7886dd6c
Oeste;2017;4d0b6235
Vila-Nova;2017;f050c492
Brasil-de-Pelotas;2017;d11febf7
Juventude;2017;d081b697
Boa;2017;f7a205c2
Paysandu;2017;81f8aeb6
Figueirense;2017;0ce4436d
Criciúma;2017;3f7595bb
Goiás;2017;78c617cc
CRB;2017;7fcb6e83
Guarani;2017;341d7cb0
Luverdense;2017;e1ad075e
Santa-Cruz;2017;ad0c1246
ABC;2017;fadd306a
Náutico;2017;b5effd9e
Fortaleza;2018;a9d0ab0e
CSA;2018;05aff519
Avaí;2018;f205258a
Goiás;2018;78c617cc
Ponte-Preta;2018;b162ebe7
Atl-Goianiense;2018;32d508ca
Vila-Nova;2018;f050c492
Londrina;2018;7886dd6c
Guarani;2018;341d7cb0
Coritiba;2018;d680d257
Brasil-de-Pelotas;2018;d11febf7
CRB;2018;7fcb6e83
São-Bento;2018;ab0835d2
Criciúma;2018;3f7595bb
Figueirense;2018;0ce4436d
Oeste;2018;4d0b6235
Paysandu;2018;81f8aeb6
Sampaio-Corrêa;2018;740be0b0
Juventude;2018;d081b697
Boa;2018;f7a205c2
Bragantino;2019;f98930d1
Sport-Recife;2019;ece66b78
Coritiba;2019;d680d257
Atl-Goianiense;2019;32d508ca
América-(MG);2019;1f68d780
Paraná;2019;ab17f2e9
CRB;2019;7fcb6e83
Cuiabá;2019;f0e6fb14
Botafogo-(SP);2019;3cc399a5
Operário;2019;d2dc922e
Ponte-Preta;2019;b162ebe7
Vitória;2019;33f95fe0
Guarani;2019;341d7cb0
Brasil-de-Pelotas;2019;d11febf7
Oeste;2019;4d0b6235
Figueirense;2019;0ce4436d
Londrina;2019;7886dd6c
São-Bento;2019;ab0835d2
Criciúma;2019;3f7595bb
Vila-Nova;2019;f050c492
Chapecoense;2020;baa296ad
América-(MG);2020;1f68d780
Juventude;2020;d081b697
Cuiabá;2020;f0e6fb14
CSA;2020;05aff519
Sampaio-Corrêa;2020;740be0b0
Ponte-Preta;2020;b162ebe7
Operário;2020;d2dc922e
Avaí;2020;f205258a
CRB;2020;7fcb6e83
Cruzeiro;2020;03ff5eeb
Brasil-de-Pelotas;2020;d11febf7
Guarani;2020;341d7cb0
Vitória;2020;33f95fe0
Confiança;2020;e48dfc07
Náutico;2020;b5effd9e
Figueirense;2020;0ce4436d
Paraná;2020;ab17f2e9
Botafogo-(SP);2020;3cc399a5
Oeste;2020;4d0b6235
Botafogo-(RJ);2021;d9fdd9d9
Goiás;2021;78c617cc
Coritiba;2021;d680d257
Avaí;2021;f205258a
CSA;2021;05aff519
Guarani;2021;341d7cb0
CRB;2021;7fcb6e83
Náutico;2021;b5effd9e
Vila-Nova;2021;f050c492
Vasco-da-Gama;2021;83f55dbe
Ponte-Preta;2021;b162ebe7
Operário;2021;d2dc922e
Brusque-Futebol-Clube;2021;b8daef43
Cruzeiro;2021;03ff5eeb
Sampaio-Corrêa;2021;740be0b0
Londrina;2021;7886dd6c
Remo;2021;2d4d7b6a
Vitória;2021;33f95fe0
Confiança;2021;e48dfc07
Brasil-de-Pelotas;2021;d11febf7
Cruzeiro;2022;03ff5eeb
Grêmio;2022;d5ae3703
Bahia;2022;157b7fee
Vasco-da-Gama;2022;83f55dbe
Sampaio-Corrêa;2022;740be0b0
Ituano;2022;62d22efa
Sport-Recife;2022;ece66b78
Criciúma;2022;3f7595bb
Londrina;2022;7886dd6c
Guarani;2022;341d7cb0
CRB;2022;7fcb6e83
Ponte-Preta;2022;b162ebe7
Vila-Nova;2022;f050c492
Chapecoense;2022;baa296ad
Tombense-Futebol-Clube;2022;7821139a
Grêmio-Novorizontino;2022;7a1064a2
CSA;2022;05aff519
Brusque-Futebol-Clube;2022;b8daef43
Operário;2022;d2dc922e
Náutico;2022;b5effd9e
Vitória;2023;33f95fe0
Juventude;2023;d081b697
Criciúma;2023;3f7595bb
Atl-Goianiense;2023;32d508ca
Grêmio-Novorizontino;2023;7a1064a2
Mirassol-Futebol-Clube;2023;289e8847
Sport-Recife;2023;ece66b78
Vila-Nova;2023;f050c492
CRB;2023;7fcb6e83
Guarani;2023;341d7cb0
Ceará;2023;2f335e17
Botafogo-(SP);2023;3cc399a5
Avaí;2023;f205258a
Ituano;2023;62d22efa
Ponte-Preta;2023;b162ebe7
Chapecoense;2023;baa296ad
Sampaio-Corrêa;2023;740be0b0
Tombense-Futebol-Clube;2023;7821139a
Londrina;2023;7886dd6c
ABC;2023;fadd306a
